gamename,avg,gain,peak,avg_peak_perc
THE KING OF FIGHTERS XIII STEAM EDITION,108.87,-2.09,282,38.6064%
Murder Miners,16.7,2.71,59,28.3051%
OLDTV,4.07,0.12,12,33.9167%
Stronghold Crusader 2,420.68,61.42,942,44.6582%
MechWarrior Online,818.15,44.85,1471,55.6186%
Garfield Kart,77.24,0.99,141,54.7801%
Domina,85.74,5.56,206,41.6214%
"Cook, Serve, Delicious!",24.95,-0.06,61,40.9016%
System Shock 2,26.69,3.04,56,47.6607%
Furi,52.68,-40.77,125,42.144%
PRICE,3.22,-0.28,10,32.2%
Comedy Night,42.17,2.51,106,39.783%
Victor Vran,70.11,-2.85,191,36.7068%
Melody's Escape,9.71,1.27,29,33.4828%
Planetbase,201.59,-11.41,385,52.361%
NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution,28.97,-3.01,76,38.1184%
Baldur's Gate: Enhanced Edition,466.71,28.31,941,49.5972%
Stories: The Path of Destinies,41.16,-16.06,220,18.7091%
Jazzpunk: Director's Cut,9.67,-0.91,34,28.4412%
Grim Fandango Remastered,28.75,-0.76,84,34.2262%
<U+6771><U+65B9><U+5929><U+7A7A><U+748B> ~ Hidden Star in Four Seasons.,10.07,-0.47,28,35.9643%
Poly Bridge,221.52,21.82,488,45.3934%
SteamWorld Dig,14.64,-2.8,46,31.8261%
I am Bread,10.49,-2.07,39,26.8974%
Enclave,22.83,-33.93,414,5.5145%
EVERSPACE,161.01,-34.09,487,33.0616%
Late Shift,23.33,11.83,124,18.8145%
BEEP,2.11,-0.35,10,21.1%
Fable Anniversary,147.63,-12.61,414,35.6594%
Valley,21.21,-76.39,59,35.9492%
Farm Together,1266.49,201.81,2264,55.9404%
Atlas Reactor,114.86,13.04,197,58.3046%
Wizard of Legend,371.62,26.32,769,48.3251%
Distance,30.18,-13.05,69,43.7391%
From The Depths,253.51,-9.25,430,58.9558%
Return of the Obra Dinn,280.09,4.32,846,33.1076%
Bless Online,779.76,-276.45,1411,55.2629%
DOOM 3: BFG Edition,74.44,-1.66,167,44.5749%
Serious Sam HD: The First Encounter,36.62,-1.15,132,27.7424%
War for the Overworld,169.14,31.02,620,27.2806%
Polarity,1.22,-0.02,6,20.3333%
SURVIVAL: Postapocalypse Now,9.35,2.72,32,29.2188%
Max Payne,39.4,2.19,97,40.6186%
The Tiny Bang Story,55.82,-77.71,392,14.2398%
Worms Revolution,88.02,-32.52,291,30.2474%
Among the Sleep,10.93,-1.46,27,40.4815%
State of Decay: Year-One,156.75,-10.85,327,47.9358%
Dungeons of Dredmor,42.78,5.06,85,50.3294%
FINAL FANTASY IX,253.24,46.19,522,48.5134%
BATTALION 1944,15.83,3.52,84,18.8452%
TOXIKK,7.41,-0.21,25,29.64%
Darkwood,54.06,-1.12,133,40.6466%
Grow Home,10.35,-0.76,30,34.5%
Time Clickers,256.42,-21.36,348,73.6839%
Risen,94.44,2.72,231,40.8831%
Planet Explorers,27.78,-1.71,53,52.4151%
Morphopolis,1.33,-0.33,7,19%
"Pirates, Vikings, & Knights II",35.69,-0.06,84,42.4881%
Castlevania: Lords of Shadow - Ultimate Edition,61.67,-13.95,165,37.3758%
Torchlight,51.77,-5.79,105,49.3048%
Woodle Tree Adventures,5.57,-9.26,75,7.4267%
Half-Life: Blue Shift,43.58,2.85,105,41.5048%
Meadow,33.67,-13.23,113,29.7965%
Aragami,35.58,-3.35,95,37.4526%
Bomber Crew,102.97,-31.09,215,47.893%
Gothic II: Gold Edition,163.98,42.12,379,43.2665%
Bloons TD5,264.12,-12.27,515,51.2854%
Turbo Dismount,19.1,-1.86,44,43.4091%
Lost Lands: A Hidden Object Adventure,49.79,0.97,83,59.988%
Audiosurf 2,25.7,-1.33,58,44.3103%
DiRT 4,301.73,-34.22,685,44.0482%
Euro Truck Simulator,38.21,-0.36,91,41.989%
Lost Lands: Mahjong,45.94,-0.89,83,55.3494%
Half-Life: Source,57.88,-4.9,154,37.5844%
Marie's Room,7.13,1.78,29,24.5862%
Crawl,36.58,7.52,145,25.2276%
Jalopy,94.64,46.77,439,21.5581%
Plantera,29.37,-9.81,61,48.1475%
Blockland,47.34,2.58,135,35.0667%
The Ultimate DOOM,26.08,-1.91,70,37.2571%
Prototype,41.31,-3.63,87,47.4828%
SpaceChem,28.26,-0.34,67,42.1791%
ENSLAVED: Odyssey to the West Premium Edition,12.61,-0.13,36,35.0278%
Strife,1.77,0.44,7,25.2857%
Injustice 2,407.1,24.05,850,47.8941%
DRAGON QUEST® XI: Echoes of an Elusive Age,1284.77,146.06,3545,36.2417%
Vindictus,306.97,-30.45,548,56.0164%
Viscera Cleanup Detail: Santa's Rampage,24.17,-29.42,62,38.9839%
Secrets of Grindea,98.9,10.65,264,37.4621%
Soda Dungeon,301.29,14.19,405,74.3926%
Trine 3: The Artifacts of Power,31.56,7.51,81,38.963%
Magic 2014,47.47,-2.28,88,53.9432%
Boring Man - Online Tactical Stickman Combat,25.17,-1.11,66,38.1364%
The Flame in the Flood,40.33,-5.1,105,38.4095%
Epistory - Typing Chronicles,17.26,-2.78,38,45.4211%
DUSK,131.1,-83.91,347,37.781%
Alan Wake's American Nightmare,14.45,1.13,34,42.5%
Mordheim: City of the Damned,174.89,9.09,327,53.4832%
Soul at Stake - 1v4,41.91,-12.68,119,35.2185%
Reus,20.04,-2.03,48,41.75%
Sword With Sauce,19.88,0.26,42,47.3333%
"Invisible, Inc.",57.3,-6,118,48.5593%
klocki,2.46,-0.65,8,30.75%
Titan Souls,19.51,-5.99,69,28.2754%
Crash Bandicoot N. Sane Trilogy,269.19,-18.65,695,38.7324%
Worm.is: The Game,22.27,-0.11,69,32.2754%
Freedom Planet,6.78,-1.77,21,32.2857%
Owlboy,25.56,-3.61,64,39.9375%
911 Operator,72.08,-8.31,159,45.3333%
Botanicula,10.13,-1.04,36,28.1389%
Worms Armageddon,124.29,-38.9,359,34.6212%
Home Behind,62.89,-8.35,148,42.4932%
Dead Island Definitive Edition,191.9,-10.32,455,42.1758%
BRINK,28.05,3.05,71,39.507%
Shadowrun: Dragonfall - Director's Cut,104.58,14.18,252,41.5%
Zup! 3,5.15,-1.44,29,17.7586%
"Warhammer 40,000: Dawn of War - Game of the Year Edition",101.37,-14.01,267,37.9663%
GRAV,4.89,-0.41,13,37.6154%
Tiny and Big: Grandpa's Leftovers,2.29,-0.56,9,25.4444%
Hexcells,9.35,1.48,26,35.9615%
Tactical Monsters Rumble Arena,276.06,-16,410,67.3317%
Eternal Card Game,1072.52,-188.94,1621,66.1641%
World of Goo,13.99,-1.19,38,36.8158%
Tricky Towers,141.53,-17.27,407,34.774%
The Cat Lady,10.26,1.61,30,34.2%
Overlord,39.67,-3.81,96,41.3229%
Rec Room,291.17,55.46,575,50.6383%
Resident Evil 7 Teaser: Beginning Hour,20.21,9.31,50,40.42%
Endless Sky,77.46,4.3,127,60.9921%
Day of Defeat,109.82,3.56,190,57.8%
The Legend of Heroes: Trails in the Sky,102.54,11.94,244,42.0246%
Jet Set Radio,13.91,-1.74,33,42.1515%
140,8.64,5.1,42,20.5714%
Gothic,81.67,19.24,197,41.4569%
Total War Saga: Thrones of Britannia,1188.82,15.91,2319,51.2643%
The Final Station,13.07,-3.83,54,24.2037%
RPG Maker VX Ace,260.16,12.42,363,71.6694%
"Warhammer 40,000: Inquisitor - Martyr",299.8,-81.73,728,41.1813%
FAR: Lone Sails,22.43,-6.09,110,20.3909%
GORN,141.96,-5.39,418,33.9617%
Confess My Love,4.71,-0.45,21,22.4286%
One Way Heroics,18.44,1.13,44,41.9091%
WILL: A Wonderful World,18.56,-0.29,63,29.4603%
Car Mechanic Simulator 2014,16,2.56,58,27.5862%
House Party,216.3,-18.47,505,42.8317%
Team Fortress Classic,69.74,7.51,126,55.3492%
Space Rangers HD: A War Apart,135.6,21.67,262,51.7557%
Defense Grid: The Awakening,82.79,3.78,147,56.3197%
Death Road to Canada,69.76,-6.45,155,45.0065%
Darksiders III,252.92,-804.28,736,34.3641%
Anomaly Warzone Earth,3.25,-2.08,18,18.0556%
Hearts of Iron III,160.2,7.79,292,54.863%
Wargame: AirLand Battle,53.04,1.61,125,42.432%
Caster,2.12,0.31,6,35.3333%
F.E.A.R. 2: Project Origin,44.68,-1.08,113,39.5398%
Floating Point,3.96,0.36,15,26.4%
There's Poop In My Soup,5.25,-1.83,12,43.75%
Heat Signature,82.04,-12.33,211,38.8815%
Danganronpa V3: Killing Harmony,214.82,7.36,431,49.8422%
Medieval Engineers,242.76,-0.52,518,46.8649%
"Gremlins, Inc.",139.8,-11.27,399,35.0376%
Hard Reset,8.55,-0.8,24,35.625%
The Surge,122.12,5.77,272,44.8971%
Ni no Kuni II: Revenant Kingdom,441.9,-64.75,1073,41.1836%
HunieCam Studio,76.16,0.41,145,52.5241%
Mad Games Tycoon,65.61,2.14,127,51.6614%
Medal of Honor(TM) Single Player,33.11,-2.08,86,38.5%
Mount & Blade,133.93,-5.14,274,48.8796%
Sniper Elite: Nazi Zombie Army,11.05,-1.99,38,29.0789%
Overgrowth,43.36,-0.9,92,47.1304%
Touhou Luna Nights,17.37,1.52,66,26.3182%
DuckTales Remastered,13.32,-0.48,39,34.1538%
Savage Lands,16.89,2.38,39,43.3077%
Arma: Cold War Assault,19.82,1.68,53,37.3962%
ArcheAge,381.7,14.1,673,56.7162%
12 is Better Than 6,11.63,-4.3,34,34.2059%
LUFTRAUSERS,5.85,-0.73,20,29.25%
Gold Rush: The Game,435.14,47.43,960,45.3271%
Arizona Sunshine,187.89,-18.76,406,46.2783%
Blameless,4.19,0.82,13,32.2308%
Crazy Machines 3,15.16,-2.67,45,33.6889%
Robot Roller-Derby Disco Dodgeball,9.63,-2.21,34,28.3235%
Turmoil,113.91,-4.02,210,54.2429%
Card Hunter,79.48,1.25,152,52.2895%
We Happy Few,102.06,5.02,324,31.5%
Blade Symphony,7.86,0.08,29,27.1034%
King Arthur's Gold,30.96,0.12,86,36%
ibb & obb,26.39,-1.28,83,31.7952%
Cortex Command,40.57,-5.04,144,28.1736%
Alpha Protocol,19.15,-3.99,43,44.5349%
Teeworlds,23.27,4.89,72,32.3194%
Far Cry,55.25,-0.99,120,46.0417%
Axiom Verge,26.31,0.18,77,34.1688%
Plug & Play,0.69,-0.2,6,11.5%
Steel Division: Normandy 44,241.11,-19.01,501,48.1257%
Counter-Strike: Global Offensive,395509.26,85423.83,746548,52.9784%
Dota 2,439367.83,-21705.66,765422,57.402%
PLAYERUNKNOWN'S BATTLEGROUNDS,473541.26,55381.78,1109766,42.6704%
Rust,42622.28,4915.93,70775,60.2222%
Team Fortress 2,50592.4,-2491.76,116141,43.5612%
Grand Theft Auto V,55641.33,12631.96,120693,46.1015%
Tom Clancy's Rainbow Six Siege,70865.32,12962.39,129558,54.6978%
Rocket League,35315.53,2456.54,67952,51.9713%
Path of Exile,51321.88,36775.65,123462,41.569%
ARK: Survival Evolved,42992.14,-8913.91,76351,56.3085%
Sid Meier's Civilization VI,26756.61,6289.73,47729,56.0594%
PAYDAY 2,13910.37,-605.16,22339,62.2694%
Wallpaper Engine,9356.55,408.02,13288,70.4135%
Warframe,53727.55,-7758.99,89029,60.3484%
Euro Truck Simulator 2,20117.58,4522.63,47581,42.2807%
Stardew Valley,11160.12,1657.08,22842,48.8579%
Garry's Mod,25707.03,1246.16,48799,52.6794%
Dead by Daylight,19722.54,1198.52,38560,51.1477%
War Thunder,13328.36,1077.85,23243,57.3435%
Total War: WARHAMMER II,15920.81,-2716.06,27601,57.682%
DayZ,7886.47,3481.82,29324,26.8943%
Farming Simulator 19,14786.28,-8619.57,39005,37.9087%
Hearts of Iron IV,13635.03,713.68,24176,56.399%
World of Tanks Blitz,9825.18,1377.01,25340,38.7734%
The Elder Scrolls Online,12020.54,1123.45,19823,60.6394%
Brawlhalla,8345.61,202.51,16452,50.727%
Unturned,18162.71,4012.41,36913,49.2041%
Spacewar,6788.12,358.45,13245,51.2504%
7 Days to Die,13770.37,3609.61,28105,48.9962%
SMITE,6683.82,-72.79,11940,55.9784%
Sid Meier's Civilization V,25999.34,1157.62,40420,64.323%
FINAL FANTASY XIV Online,6184.32,512.6,10222,60.5001%
RimWorld,10097.42,-3200.14,15760,64.0699%
Europa Universalis IV,12532.94,1197.14,23012,54.4626%
Counter-Strike,11583.65,1211.48,21858,52.995%
Arma 3,13554.29,1000.99,26948,50.2979%
Black Desert Online,10753.9,61.49,15621,68.8426%
Bloons TD 6,465.62,NA,688,67.6773%
Factorio,7118.64,409.35,13114,54.2828%
Dead Cells,1797.62,647.57,4381,41.0322%
DARK SOULS III,8414.36,379.84,16580,50.7501%
Fallout 4,16971.13,-1962.75,31485,53.9023%
VRChat,5976.02,-166.37,9030,66.1796%
Stellaris,20411.2,12169.09,50061,40.7727%
World of Warships,3758.6,680.47,7247,51.8642%
Paladins,14880.47,-482.05,30059,49.5042%
Albion Online,239.93,-8.4,407,58.9509%
Yu-Gi-Oh! Duel Links,5793.98,-889.21,8356,69.3392%
Soundpad,722.53,101.34,1155,62.5567%
Assassin's Creed Odyssey,13520.97,1488.72,32071,42.1595%
The Forest,8196.17,3124.76,20925,39.1693%
Deep Rock Galactic,1430.48,733.6,3263,43.8394%
Green Hell,306.38,46.99,693,44.2107%
The Binding of Isaac: Rebirth,5620.54,-206.45,9089,61.8389%
Raft,1516.97,395.57,3286,46.1646%
Oxygen Not Included,4262.15,-81.49,6934,61.4674%
Conan Exiles,4981.92,164.61,10458,47.6374%
Human: Fall Flat,2850.19,1354.51,9594,29.708%
Hunt: Showdown,1898.2,286.32,3960,47.9343%
Dying Light,4673.75,137.2,9904,47.1905%
Geometry Dash,2314.47,193.84,4028,57.4595%
SCUM,2458.96,-44.39,5110,48.1205%
Aim Lab,51.12,23.62,90,56.8%
Company of Heroes 2,11902.27,8267.77,161908,7.3513%
Russian Fishing 4,2840.89,158.45,4197,67.6886%
Mount & Blade: Warband,7372.96,1063.78,13273,55.5486%
SCP: Secret Laboratory,2354.84,174.33,4135,56.949%
Total War: ROME II - Emperor Edition,5600.8,679.11,10632,52.6787%
Squad,1928.81,-594.64,3786,50.9459%
Hollow Knight,2197.74,82.93,4094,53.682%
Grim Dawn,3524.48,26.58,6333,55.6526%
BeamNG.drive,1935.57,290.62,4010,48.2686%
Killing Floor 2,10149.7,1910.74,31438,32.2848%
Black Desert,1583.72,6.75,2313,68.4704%
Warhammer: Vermintide 2,3865.13,481.52,8668,44.5908%
Prison Architect,1617.18,35.99,3999,40.4396%
Kerbal Space Program,3542.5,120.57,6315,56.0966%
Total War: MEDIEVAL II - Definitive Edition,3141.73,315.07,5407,58.1049%
Clicker Heroes,2879.21,-145.17,3865,74.4944%
theHunter: Call of the Wild,1464.77,337.44,3001,48.8094%
AdVenture Capitalist,1242.88,118.73,2250,55.2391%
Starbound,2469.94,384.52,4568,54.0705%
Crossout,2967.99,46.65,5531,53.661%
Warface,2818.9,22.78,4522,62.3375%
For Honor,5789.15,-969.42,10979,52.7293%
Crusader Kings II,7412.04,-542.18,14146,52.3967%
House Flipper,1189.02,169.2,3420,34.7667%
XCOM 2,5299.94,323.66,10056,52.7043%
Blender,818.17,-27.27,1196,68.4089%
Far Cry 5,4499.44,1986.95,11615,38.7382%
The Isle,1124.37,348.21,2535,44.3538%
Assetto Corsa Competizione,170.72,-0.55,851,20.0611%
Borderlands 2,7619.02,1058.78,16548,46.0419%
Kenshi,3667.37,2542.29,7009,52.3237%
Heroes & Generals,4165.42,873.4,8210,50.7359%
Eco,332.27,29.64,819,40.5702%
Shakes and Fidget,1899.73,-188.27,3838,49.4979%
Subnautica,3778.3,1303.48,8980,42.0746%
Insurgency: Sandstorm,4978.04,NA,7983,62.358%
Total War: EMPIRE - Definitive Edition,2806.48,367.83,4840,57.9851%
The Sims(TM) 3,4764.37,145.06,9509,50.1038%
Transformice,610.63,48.71,1205,50.6747%
Total War: ATTILA,2504.86,428.69,4619,54.2295%
Darkest Dungeon®,2443.73,-674.29,4883,50.0457%
Total War: SHOGUN 2,2261.7,251.38,3750,60.312%
HITMAN 2,11098.05,5184.38,356867,3.1099%
Portal 2,2507.92,734.87,6191,40.5091%
Kingdom Come: Deliverance,3027.98,368.12,9208,32.8842%
They Are Billions,2607.26,306.68,4723,55.2035%
ATLAS,39315.58,NA,58788,66.8769%
Assassin's Creed Origins,2571.01,938.91,6270,41.0049%
Fishing Planet,1053.55,263.65,2467,42.7057%
Middle-earth: Shadow of War,3729.23,701.78,9735,38.3074%
Soundpad Demo,62.95,7.19,126,49.9603%
Star Trek Online,1216.76,-10.04,1947,62.4941%
Catan Universe,275.66,15.27,548,50.3029%
Men of War: Assault Squad 2,1499.4,103.95,2813,53.3025%
Trove,2646.76,501.97,5255,50.3665%
Football Manager 2018,11850.86,-1894.66,19173,61.8101%
DARK SOULS II: Scholar of the First Sin,1608.44,-18.26,3121,51.536%
DRAGON BALL FighterZ,1263.83,-113.63,2483,50.8993%
Gems of War,1518.92,-129.89,2273,66.8245%
Aseprite,570.63,-4.1,854,66.8185%
The Crew 2,1508.02,1038.53,5950,25.3449%
CarX Drift Racing Online,212.06,-1.47,451,47.02%
Beat Saber,1532.4,545.68,3800,40.3263%
KovaaK 2.0,154.28,113.22,886,17.4131%
Neverwinter,2235.98,-205.76,3875,57.7027%
Will To Live Online,104.3,7.99,245,42.5714%
Street Fighter V,2044.82,781.93,6142,33.2924%
DARK SOULS: REMASTERED,882.59,195.77,1712,51.5532%
PlanetSide 2,1862.16,90.39,2892,64.39%
Planet Coaster,1824.84,234.64,4176,43.6983%
Pathfinder: Kingmaker,2573.91,-919.6,4907,52.4538%
The Long Dark,2700.27,586.17,6567,41.1188%
Stormworks: Build and Rescue,559.74,120.47,1136,49.2729%
Knight Online,2190.13,189.32,3029,72.3054%
Project Zomboid,696.7,-60.18,1355,51.417%
Northgard,1821.27,1048.54,4788,38.0382%
Realm of the Mad God Exalt,1078.21,238.43,1826,59.0476%
X-Plane 11,1046.41,111.84,2126,49.2197%
METAL GEAR SOLID V: THE PHANTOM PAIN,2028.96,293.83,3197,63.4645%
Jurassic World Evolution,3085.9,1433.65,8964,34.4255%
BATTLETECH,3105.18,1655.7,6454,48.1125%
theHunter Classic,530.98,86.85,1094,48.5356%
ASTRONEER,812.12,-198.81,1484,54.7251%
Microsoft Flight Simulator X: Steam Edition,2515.1,72.48,4139,60.7659%
EVGA Precision X1,2376.94,-82.95,3152,75.4105%
Robocraft,1180.04,-185.41,2535,46.5499%
Don't Starve,3298.75,-378.31,6204,53.1713%
Age of Mythology: Extended Edition,1390.96,376.08,3252,42.7724%
Train Simulator,1268.68,84.5,2774,45.7347%
Call of Duty: Black Ops III,1175.17,-275.61,2404,48.8839%
Heroes of Might & Magic III - HD Edition,915.85,140.57,2157,42.4594%
Total War: NAPOLEON - Definitive Edition,1299.46,146.63,2392,54.3253%
Yakuza 0,1048.28,-10.6,2051,51.1107%
Black Squad,6008.37,543.04,9932,60.4951%
Shadowverse,4077.41,991.85,13931,29.2686%
Black Desert Online SA,1488.1,-59.61,2322,64.087%
Company of Heroes,1265.67,47.28,2268,55.8056%
Grand Theft Auto IV: The Complete Edition,781.23,126.53,1733,45.0796%
Football Manager 2017,4759.63,-271.62,7599,62.635%
Super Animal Royale,106.13,NA,457,23.2232%
Sniper Elite 4,1586.6,259.19,3687,43.0323%
Granado Espada,820.09,56.71,975,84.1118%
Tom Clancy's Ghost Recon® Wildlands,4495.26,2380.94,10132,44.367%
Rome: Total War,1205.8,96.78,2109,57.174%
Tree of Savior (English Ver.),1243.55,-87.33,1833,67.8423%
Beasts of Bermuda,604.46,NA,914,66.1335%
FaceRig,674.43,37.81,1249,53.9976%
Endless Space® 2,1116.01,79.76,2080,53.6543%
Assassin's Creed IV Black Flag,1120.84,373.15,2281,49.1381%
For The King,1006.42,411.24,2740,36.7307%
March of Empires,668.6,-34.92,1045,63.9809%
Plants vs. Zombies: Game of the Year,703.27,-9.92,1216,57.8347%
Plague Inc: Evolved,531.44,53.56,2071,25.661%
Total War: WARHAMMER,2142.44,7.9,4072,52.6139%
X4: Foundations,6247.04,6246.48,15074,41.4425%
Stronghold Crusader HD,569.59,64.14,1310,43.4802%
Sid Meier's Civilization IV: Beyond the Sword,1110.97,73.24,1768,62.8377%
Frostpunk,2159.46,-57.33,4149,52.0477%
Tomb Raider,1090.74,-119.6,2750,39.6633%
MapleStory,931.39,290.12,1364,68.2837%
Nioh: Complete Edition,1036.72,131.96,2220,46.6991%
NBA 2K19,11442.44,256.56,21331,53.6423%
Onmyoji,539.26,-38.45,857,62.9242%
Tracks of Triumph: Industrial Zone,0.34,-0.55,5,6.8%
Titan Quest Anniversary Edition,973.97,9.43,2074,46.9609%
Assassin's Creed Unity,644.71,266.96,1680,38.3756%
Brick Rigs,400.23,39.81,872,45.8979%
Resident Evil 7 Biohazard,320.99,40.42,752,42.6848%
Two Point Hospital,1379.72,90.9,3109,44.3783%
Sid Meier's Civilization III: Complete,982.26,91.33,1619,60.6708%
DCS World Steam Edition,438.91,71.83,820,53.5256%
My Summer Car,443.4,-50.91,1009,43.9445%
Banished,1426.83,177.89,2742,52.0361%
XCOM: Enemy Unknown,1080.82,64.51,1909,56.6171%
OMSI 2,690.33,114.2,1668,41.3867%
The Elder Scrolls IV: Oblivion,918.02,143.59,1762,52.101%
Crusaders of the Lost Idols,1346.56,-51.87,1707,78.8846%
Farming Simulator 17,2842.32,-2321.22,6266,45.361%
Spore,789.59,71.22,1608,49.1039%
Insurgency,1980.35,-10.11,3237,61.1786%
Enter the Gungeon,1455.08,-119.33,2315,62.8544%
Minion Masters,967.46,620.92,3314,29.1931%
Source Filmmaker,926.71,27.14,1396,66.3832%
NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,539.35,-45.04,1278,42.2027%
The Lord of the Rings Online,880.41,-30.35,1592,55.3021%
Realm Grinder,2066.22,36.01,2529,81.7011%
Realm Royale,2187.88,132.59,4377,49.9858%
Victoria II,835.18,64.41,1696,49.2441%
BioShock Remastered,324.81,2.97,731,44.4337%
Undertale,1366.11,-270.77,2645,51.6488%
DOOM,1345.27,317.83,2619,51.3658%
Just Cause 3,3033.77,416.19,5620,53.9817%
Naval Action,314.81,-37.66,717,43.9066%
Age of History II,977.9,-212.21,2195,44.5513%
Football Manager 2016,2114.7,-65.63,3552,59.5355%
Fallout Shelter,1200.78,-228.64,2049,58.6032%
Battle Brothers,1886.52,1411.67,4617,40.8603%
Cossacks 3,603.59,61.06,1670,36.1431%
Rising Storm 2: Vietnam,1302.92,-251.52,2281,57.1206%
Surviving Mars,986.56,-717.87,2435,40.5158%
Project CARS 2,1060.56,187.49,2259,46.9482%
Governor of Poker 3,445.13,-0.94,843,52.8031%
FTL: Faster Than Light,1213.06,144.82,2116,57.328%
Metin2,500.77,34.76,942,53.1603%
Rocksmith® 2014 Edition - Remastered,775.79,64.74,1346,57.6367%
War Robots,423.82,-9.22,687,61.6914%
Half-Life 2,834.56,203.18,1855,44.9898%
TERA,856.8,32.99,1852,46.2635%
Cell to Singularity - Evolution Never Ends,864.75,NA,1328,65.1167%
PC Building Simulator,491.01,166.39,1093,44.9231%
Cuphead,680.51,23.25,1406,48.4004%
Divinity: Original Sin Enhanced Edition,1240.48,30.88,3070,40.4065%
Wolcen: Lords of Mayhem,127.54,8.71,486,26.2428%
Trailmakers,119.85,-10.44,341,35.1466%
Football Manager 2015,1347.72,6.41,2289,58.8781%
FINAL FANTASY XV WINDOWS EDITION,1365.07,258.85,2969,45.9774%
Batman: Arkham Knight,1030.89,34.81,2160,47.7264%
Golf It!,444,89.7,1459,30.4318%
Mafia III: Definitive Edition,810.85,122.58,2065,39.2663%
Fallout: New Vegas RU,619.65,1.79,1574,39.3679%
Wreckfest,353.95,36.96,983,36.0071%
The Witcher 2: Assassins of Kings Enhanced Edition,674.53,-84.85,1472,45.824%
Wargame: Red Dragon,622.47,15.81,1073,58.0121%
Deceit,937.25,-370.44,1972,47.5279%
Idling to Rule the Gods,805.38,-20.63,930,86.6%
Pillars of Eternity II: Deadfire,1372.9,540.56,3110,44.1447%
Crush Crush,648.04,-41.39,1007,64.3535%
"Warhammer 40,000: Dawn of War - Soulstorm",640.96,74.1,1284,49.919%
Ravenfield,629.17,34.31,1105,56.9385%
Avorion,399.79,26.61,739,54.0988%
Far Cry 4,1427.05,346.92,3504,40.7263%
Black Mesa,263.62,54.92,620,42.5194%
Pavlov VR,376.32,161.2,1055,35.6701%
Life is Feudal: Your Own,774.28,52.64,1382,56.026%
The Witcher: Enhanced Edition,712.42,-105.14,1578,45.147%
BioShock Infinite,542.03,-32.15,1078,50.2811%
Bloons TD Battles,483.2,-99,839,57.5924%
RPG Maker MV,907.33,-61.15,1302,69.6874%
STAR WARS Knights of the Old Republic II: The Sith Lords,522.62,65.52,999,52.3143%
Resident Evil 4,301.41,31.78,615,49.0098%
This War of Mine,989.5,-285.86,2058,48.0807%
RaceRoom Racing Experience,362.41,69.53,910,39.8253%
Post Scriptum,489.48,-134.28,1241,39.4424%
Far Cry® 3,712.05,76.71,1415,50.3216%
Graveyard Keeper,911.83,-183.1,2210,41.2593%
CRSED,327.35,2.2,739,44.2963%
Terraforming Mars,152.3,-49.74,283,53.8163%
Ultimate Epic Battle Simulator,126.35,34.33,306,41.2908%
Resident Evil 6,433.42,58.29,1057,41.0047%
Dishonored 2,1031.9,389.24,2106,48.9981%
Blood Bowl 2,370.31,-28.31,816,45.3811%
Motorsport Manager,612.39,-5.99,1214,50.444%
Tom Clancy's The Division,4702.71,2402.78,12957,36.2947%
Steep,302.98,75.82,862,35.1485%
Sins of a Solar Empire: Rebellion,2220.91,-785.44,87049,2.5513%
The Divine Paradox,0.27,-0.04,2,13.5%
rFactor 2,430.28,17.5,1047,41.0965%
Rise of Nations: Extended Edition,606.52,98.43,1215,49.9193%
Danganronpa 2: Goodbye Despair,241.74,46.12,474,51%
Ori and the Blind Forest: Definitive Edition,313.06,88.69,744,42.078%
Borderlands: The Pre-Sequel,1415.05,201.63,3612,39.1764%
Stick Fight: The Game,772.38,164.31,2147,35.9748%
Citadel: Forged With Fire,84.79,-5.31,212,39.9953%
Stream Avatars,135.06,-6.75,201,67.194%
Digimon Masters Online,598.09,-38.44,910,65.7242%
Dead Frontier 2,175.22,-201.74,407,43.0516%
MudRunner,881.09,22.78,1887,46.6926%
Middle-earth: Shadow of Mordor,850.44,-153.33,1754,48.4857%
ShareX,309.01,7.47,407,75.9238%
Counter-Strike Nexon: Studio,642.61,3.24,1185,54.2287%
Mad Max,898.01,-137.75,1833,48.9913%
Golf With Your Friends,614.51,80.75,1932,31.8069%
Lobotomy Corporation,195.11,21.48,461,42.3232%
Friday the 13th: The Game,447.18,-605.48,819,54.6007%
<U+592A><U+543E><U+7ED8><U+5377> The Scroll Of Taiwu,2679.98,-3606.43,7696,34.823%
Left 4 Dead,449.46,-4.13,976,46.0512%
Ultimate Chicken Horse,264.47,55.47,747,35.4043%
Feed and Grow: Fish,286.86,30.85,686,41.8163%
Doki Doki Literature Club,484.66,38.23,800,60.5825%
Clone Drone in the Danger Zone,124.67,-19.1,268,46.5187%
TerraTech,450.62,70.24,842,53.5178%
Little Nightmares,123.25,-20.98,512,24.0723%
Subsistence,228.22,66.87,693,32.9322%
Quake Champions,1244.11,-144.01,3482,35.7298%
Age of Wonders III,592.18,-2.13,1074,55.1378%
Stronghold Kingdoms,541.31,-7.13,880,61.5125%
Baldur's Gate II: Enhanced Edition,355.45,-0.49,677,52.5037%
Railway Empire,634.9,159.16,1670,38.018%
Resident Evil 5,338.68,37.15,781,43.3649%
Football Manager 2012,460.24,-1.94,904,50.9115%
Borderless Gaming,478.15,-20.17,674,70.9421%
Mass Effect,261.72,45.78,607,43.117%
