gamename,avg,gain,peak,avg_peak_perc
DEATH STRANDING,1780.29,-1652.64,3321,53.607%
Black Desert Online SA,1866.06,-51.4,5668,32.9227%
State of Decay 2,1999.81,-992.05,3943,50.718%
ROMANCE OF THE THREE KINGDOMS XIV,2440.73,-647.62,4776,51.1041%
Melvor Idle,1759.59,57.47,2157,81.5758%
Company of Heroes,1494.54,-98.71,2647,56.4617%
Grand Theft Auto IV: The Complete Edition,1696.31,-321.58,3130,54.1952%
Football Manager 2017,1374.51,-112.82,2385,57.6314%
Super Animal Royale,1251.34,12.25,3030,41.2983%
Sniper Elite 4,1663.02,-430.09,3835,43.3643%
Granado Espada,1697.29,-37.99,2041,83.1597%
Tom Clancy's Ghost Recon® Wildlands,1670.96,-572.62,3050,54.7856%
DEAD OR ALIVE Xtreme Venus Vacation,2220.82,-152.78,6860,32.3735%
Rome: Total War,1282.91,-18.19,2245,57.1452%
Tree of Savior (English Ver.),1555.43,-213.46,2203,70.6051%
Beasts of Bermuda,1385.81,-10.75,2066,67.077%
FaceRig,1873.68,3.73,3491,53.6717%
Endless Space® 2,1392.91,-438.24,2697,51.6466%
Battlefield 4,2055.42,503.32,4494,45.737%
Baldur's Gate 3,2424.04,211.47,10693,22.6694%
Assassin's Creed IV Black Flag,1307.65,-15.06,2511,52.0769%
For The King,3405.23,2106.17,8079,42.1492%
Stay Out,1060.89,-29.87,1992,53.2575%
March of Empires,1268.88,-14.43,1987,63.8591%
Plants vs. Zombies: Game of the Year,2352.44,-49.45,3867,60.8337%
Plague Inc: Evolved,976.8,338.58,3171,30.8042%
Total War: WARHAMMER,1237.39,260.22,2489,49.7143%
Amazing Cultivation Simulator,2057.39,-421.86,3650,56.3668%
Grounded,1213.37,-16.84,2469,49.1442%
Workers & Resources: Soviet Republic,1170.83,-241.39,2275,51.4651%
X4: Foundations,1265.51,-178.71,2095,60.4062%
Stronghold Crusader HD,1078.77,-138.1,2056,52.4694%
Sid Meier's Civilization IV: Beyond the Sword,1360.19,-27.71,2224,61.1596%
Frostpunk,1776.04,-254.91,4419,40.191%
Tomb Raider,1282.94,-193.15,2810,45.6562%
MapleStory,2179.46,-339.66,3486,62.5204%
Craftopia,1333.57,364.82,3118,42.77%
Nioh: Complete Edition,1072.33,3.75,1813,59.1467%
NBA 2K19,851.05,-83.75,1772,48.0277%
Command & Conquer Remastered Collection,1328.21,-101.47,2583,51.4212%
Onmyoji,1370.82,230.32,3605,38.0255%
Tracks of Triumph: Industrial Zone,86.19,84.77,2846,3.0285%
Football Manager 2021 Touch,1107.5,46.8,1927,57.4728%
Titan Quest Anniversary Edition,1081.44,-78.53,2172,49.7901%
Assassin's Creed Unity,816.38,83.44,2705,30.1804%
DRAGON BALL Z: KAKAROT,921.24,-213.18,1648,55.9005%
Dragon Age Inquisition,1528.01,-146.13,3068,49.8048%
Brick Rigs,858.62,22.37,1920,44.7198%
Resident Evil 7 Biohazard,1084.49,25.85,1875,57.8395%
Two Point Hospital,1042.75,-291.01,2230,46.7601%
Spellbreak,1110.99,-1101.35,1660,66.9271%
Sid Meier's Civilization III: Complete,1260,-13.89,2136,58.9888%
DCS World Steam Edition,1067.56,-47.58,1890,56.4847%
Mafia: Definitive Edition,714.05,-159.45,1891,37.7604%
Last Oasis,953.92,-882.88,1790,53.2916%
